rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
66,92,15586,7923,27.0,71.0,20,103,2176813,4.7874007,5.319721
74,85,15905,5437,79.0,74.0,42,87,1822355,5.5542235,5.6057673
73,76,17293,6385,22.0,74.0,17,78,1804735,7.118802,6.7677174
63,95,11259,6406,52.0,64.0,31,98,1682592,5.845373,8.09928
73,82,15952,5782,53.0,74.0,30,85,1802062,5.4241405,6.03934
75,76,18734,6147,60.0,75.0,35,78,1912770,4.840341,5.0432606
50,61,5041,4949,87.0,47.0,47,62,611490,3.5523183,7.07956
76,91,43328,13033,93.0,75.0,49,93,5142791,3.1658301,6.287946
67,79,40387,19608,16.0,71.0,15,84,4740840,6.328825,7.5610113
74,81,36485,12177,92.0,74.0,48,82,3956332,2.7370033,5.798989
62,69,6899,4204,62.0,62.0,35,72,775246,4.8277373,6.2110014
64,93,12678,7098,64.0,64.0,36,97,1849859,5.452733,8.968862
84,94,23393,4316,52.0,85.0,28,95,2608711,4.3584633,7.197563
84,91,31256,5886,58.0,84.0,33,91,3380829,5.4235234,5.115733
54,58,14804,12406,40.0,57.0,25,65,1603174,4.896749,5.2074776
68,75,24014,11092,55.0,68.0,32,76,2654141,5.508512,7.4406624
84,100,51363,9751,64.0,84.0,34,101,6158673,6.2320137,5.6334743
84,90,40239,7449,81.0,84.0,43,91,4311073,4.2577567,6.093563
40,91,9123,13154,70.0,40.0,38,92,2040169,4.927798,6.7384863
59,143,8948,6013,6.0,70.0,10,169,2148252,6.1368585,7.3420305
75,109,12329,3961,38.0,78.0,24,114,1779464,6.4214582,7.6668677
69,78,8024,3563,91.0,66.0,49,82,911320,3.6088724,7.0520997
71,77,17694,7015,10.0,77.0,12,84,1915561,6.080925,7.000745
77,91,28897,8320,42.0,78.0,25,92,3411695,6.968642,6.713588
56,60,4946,3832,18.0,68.0,16,74,529834,5.0822887,7.0914993
67,76,51909,24532,62.0,68.0,35,77,5829386,6.644519,7.1786294
65,101,14414,7430,69.0,65.0,39,105,2227172,5.00348,8.650322
81,110,31355,6988,75.0,81.0,40,111,4224978,4.483409,6.5836487
75,80,10024,3273,53.0,76.0,31,82,1066588,5.5290084,4.9590993
69,83,15587,6801,87.0,67.0,47,88,1866645,3.6639793,7.437898
64,70,13459,7534,17.0,71.0,16,79,1480312,5.522992,5.1769814
69,99,22433,9844,49.0,73.0,29,113,3225421,4.9204884,5.850724
74,81,29604,10024,61.0,75.0,33,82,3230293,4.980939,7.572776
66,69,20459,10132,38.0,70.0,25,75,2129183,5.106726,6.015056
78,101,29196,7870,52.0,79.0,30,104,3778925,4.4878044,5.716573
67,72,17762,8722,75.0,66.0,39,73,1923437,5.7639675,7.072321
59,67,15097,10442,27.0,64.0,20,75,1734225,4.560226,8.179629
74,90,21621,7448,72.0,74.0,40,91,2621829,6.604901,7.689936
58,114,10873,7766,78.0,56.0,40,120,2128365,4.850825,8.720548
67,93,8311,3943,46.0,68.0,28,96,1141022,4.342537,5.8002086
56,98,9416,7384,87.0,53.0,46,102,1655127,4.2359233,8.317342
77,100,22683,6567,45.0,78.0,28,103,2943354,5.557862,6.0895276
47,76,9923,10784,59.0,46.0,34,81,1591564,5.9979553,7.497083
69,149,29701,13325,36.0,71.0,24,159,6442106,6.6427855,7.2074637
45,67,9674,11663,89.0,42.0,48,69,1447507,4.246329,7.5232716
72,77,37520,14393,36.0,72.0,22,78,4017166,9.576386,7.3571887
51,54,8640,8117,82.0,48.0,45,55,911353,4.2495637,9.549531
66,71,10913,5390,32.0,73.0,22,80,1161058,4.1344037,6.3061795
52,102,14545,13393,87.0,50.0,44,104,2855203,3.9856977,6.880915
81,88,19619,4437,39.0,83.0,25,90,2121811,6.3712487,6.0433187
46,95,8718,10228,75.0,44.0,41,98,1816029,5.44075,7.1534376
77,83,41369,12151,63.0,77.0,34,84,4467959,5.358727,5.758504
60,89,9882,6421,61.0,60.0,35,91,1458851,4.8163667,6.780725
60,85,15220,9905,42.0,63.0,26,95,2137077,4.3914037,7.7435007
80,89,21593,5102,51.0,81.0,29,91,2392524,7.016481,5.9044294
78,88,11552,3106,45.0,79.0,27,89,1297963,2.341497,6.2796535
61,69,28748,18187,17.0,65.0,15,75,3264390,6.521026,7.387725
81,101,41479,9188,79.0,81.0,42,102,5122002,5.617985,7.352645
52,59,6540,5906,70.0,51.0,39,61,744741,5.2641387,6.3455753
49,79,21527,21782,68.0,44.0,37,91,3455493,5.187449,9.599395
59,118,9716,6612,81.0,58.0,43,122,1942549,3.9497876,7.2343974
71,114,33223,13058,33.0,74.0,23,121,5278926,4.3398967,6.387605
76,85,21950,6718,78.0,76.0,43,86,2453277,2.5401578,6.328645
54,128,8673,7234,15.0,65.0,14,158,2038709,5.6042976,6.1426396
83,114,29243,5879,73.0,83.0,38,116,4029440,5.662782,5.365433
72,123,12640,4820,80.0,71.0,41,128,2164345,4.8045597,6.7662845
69,96,24279,10443,85.0,69.0,45,99,3362833,4.3396525,8.068828
67,85,36422,17492,95.0,65.0,50,87,4620194,3.5128105,5.710022
85,92,38558,6278,82.0,86.0,44,92,4133983,3.7957366,6.053667
84,93,16972,3159,82.0,84.0,45,95,1876583,3.749369,6.738924
64,74,11195,6206,79.0,63.0,43,75,1287757,3.9564743,7.703903
76,112,27106,8213,63.0,76.0,32,113,3962912,4.77486,7.3307943
75,85,13203,4226,84.0,75.0,45,87,1493367,3.5584826,5.7462378
63,76,21187,12416,77.0,62.0,41,77,2574201,5.5749145,7.6997476
77,83,33536,9991,50.0,77.0,29,83,3618120,7.2641644,5.8061485
65,75,14702,7916,30.0,69.0,21,82,1715366,4.5224233,7.1601505
47,81,9997,11204,33.0,49.0,23,89,1722967,4.474867,7.7737136
66,71,12010,5975,51.0,67.0,30,73,1292455,6.084971,5.5572834
80,87,25653,6158,46.0,81.0,28,88,2768232,6.70082,6.452142
76,87,18342,5542,85.0,76.0,46,89,2085915,7.5306163,7.3252187
59,65,19181,13196,12.0,63.0,13,70,2114232,5.6139803,7.44005
68,72,14545,6568,85.0,67.0,46,74,1530143,4.172516,6.425683
80,84,26053,6207,80.0,80.0,43,85,2724331,4.61592,5.472786
78,84,28390,7779,10.0,85.0,12,91,3053483,3.7549024,6.632755
78,120,27024,7523,88.0,77.0,46,123,4166587,4.5837593,6.7240405
77,114,25505,7486,56.0,77.0,33,116,3781733,5.6008644,5.7842426
50,69,5013,4995,77.0,47.0,41,71,692040,4.607753,6.0745425
49,62,5062,5117,85.0,47.0,47,64,640176,4.2989845,7.187222
51,64,16157,15265,81.0,50.0,44,65,2035863,4.3560696,7.9610972
61,67,8327,5225,68.0,60.0,38,69,920269,4.6538453,6.244744
70,87,17862,7438,10.0,79.0,12,99,2222460,5.751036,6.2502856
64,97,14438,7903,93.0,62.0,48,101,2181283,4.5941334,7.799362
78,121,19765,5333,46.0,80.0,28,125,3044641,5.5201244,6.3657804
64,78,13827,7694,12.0,71.0,13,87,1681418,5.0002537,5.4078636
84,124,40076,7198,69.0,85.0,37,128,5902866,4.2058825,6.0503793
54,64,17882,15172,57.0,53.0,33,65,2130614,7.453723,7.991564
54,66,9165,7623,22.0,62.0,18,79,1124521,4.100054,8.47369
72,75,18807,7132,62.0,72.0,36,76,1967661,5.7241383,5.2805104
54,104,11646,9781,23.0,58.0,17,116,2234030,4.855478,8.754193
61,61,16739,10387,60.0,62.0,33,67,1679356,4.427735,7.1739693
75,92,25277,8323,10.0,80.0,12,99,3119591,5.844632,6.8805003
61,73,11431,7103,53.0,62.0,30,74,1354644,5.3311753,6.130743
