rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
65,72,7391,3849,48.0,66.0,29,75,815681,5.626124,5.3527513
69,74,15565,6692,54.0,70.0,32,76,1656586,6.1544776,5.8999395
86,98,32452,5255,69.0,86.0,38,99,3704501,4.596037,7.7626524
64,75,9337,5155,86.0,62.0,47,78,1097361,4.0123124,6.619084
65,71,13269,7050,83.0,64.0,46,73,1453591,4.67298,8.075098
48,60,4331,4515,56.0,48.0,32,62,531548,5.591874,6.5445757
69,142,15922,7029,56.0,69.0,30,145,3280342,5.524605,9.289009
62,100,18591,11075,68.0,62.0,38,102,2985296,5.557573,6.5454392
61,68,6338,3964,47.0,62.0,28,70,700938,5.721258,5.80066
79,84,22030,5671,80.0,79.0,41,85,2343447,3.9686244,5.2581816
66,71,9158,4701,42.0,67.0,26,73,985235,6.656685,6.0036693
74,91,10508,3650,69.0,74.0,39,93,1288824,4.5631857,6.683273
74,121,17628,6159,67.0,74.0,38,126,2890921,3.5060983,6.9312325
70,80,58797,24879,82.0,69.0,44,81,6720962,5.0889444,7.0641475
69,119,11626,5080,89.0,68.0,48,124,1998130,3.6948159,5.8728256
80,93,33440,8228,16.0,84.0,15,98,3902025,5.387284,6.5935683
80,81,41142,9674,79.0,81.0,42,82,4154601,5.686236,5.7444158
66,77,20923,10672,15.0,71.0,15,84,2438371,5.4689174,6.286597
71,87,15662,6158,58.0,72.0,33,89,1901636,6.9500437,7.224955
62,118,27840,16576,32.0,65.0,22,128,5255629,4.9175725,7.057993
44,168,4853,6136,76.0,41.0,42,179,1848704,2.8151026,6.9246063
68,76,15644,7042,83.0,68.0,45,77,1738235,4.22609,7.7143674
79,100,33441,8653,48.0,82.0,29,106,4216280,4.1620603,8.793321
65,75,21376,11102,25.0,70.0,19,81,2440572,4.3374996,6.5783963
58,66,18100,13082,54.0,58.0,31,67,2067390,7.1271234,7.5841017
62,95,22092,13259,53.0,63.0,31,105,3388931,4.5044003,5.7718825
80,101,37298,9180,88.0,80.0,47,103,4740542,4.1266727,8.095033
63,75,42534,24420,34.0,66.0,23,81,5062213,5.558494,6.7438493
70,161,18523,7744,85.0,69.0,45,166,4242459,4.3929524,6.710294
61,110,18740,11966,88.0,59.0,47,113,3392677,4.171949,7.3231196
68,73,41870,19619,73.0,68.0,39,73,4497568,4.783655,7.3282676
66,90,20119,10307,59.0,66.0,32,93,2762800,5.343318,8.059664
58,131,16381,11417,89.0,56.0,47,137,3648191,3.854817,7.6478796
75,78,7708,2561,55.0,76.0,33,81,803640,3.998186,6.0840254
79,85,17173,4556,40.0,79.0,25,86,1847040,6.0160685,6.3345137
80,86,17703,4209,30.0,81.0,20,87,1888104,4.588009,5.5969872
58,65,14687,10224,83.0,57.0,46,66,1627721,4.653061,8.300377
78,83,11758,3199,58.0,79.0,34,84,1250344,4.2982635,4.683846
56,67,8979,6834,69.0,56.0,37,68,1060279,5.5226216,8.681729
66,83,15042,7523,5.0,75.0,10,94,1893852,5.762318,7.495434
70,73,6697,2811,79.0,69.0,44,75,696002,4.460554,6.229375
42,47,6226,8488,88.0,38.0,48,47,697566,4.076543,8.303818
76,110,23390,7205,64.0,76.0,37,111,3367837,4.9903865,6.06226
69,103,17726,7607,79.0,69.0,43,105,2619118,5.565695,6.21086
60,66,4008,2653,80.0,58.0,43,68,444493,4.046199,6.4482245
77,115,39000,11582,87.0,76.0,44,116,5823363,4.3679223,7.437989
54,63,11535,9500,87.0,52.0,46,65,1341188,4.32262,5.98681
53,140,9093,7794,78.0,51.0,43,150,2377423,5.051544,7.974906
44,66,7344,9143,81.0,41.0,45,68,1101791,4.3641014,7.444832
74,96,12979,4455,85.0,73.0,44,98,1679572,3.0280812,5.9110165
79,84,9510,2513,51.0,80.0,30,86,1013028,5.7665787,5.759371
76,80,7716,2426,18.0,77.0,16,82,819580,5.387936,6.141085
64,72,6864,3841,60.0,64.0,34,75,777202,6.4522986,5.0331388
66,73,20429,10199,22.0,73.0,18,82,2266345,5.1319942,5.90543
69,76,20397,9001,81.0,68.0,44,78,2260541,3.6217146,7.804376
54,60,6395,5368,19.0,64.0,16,73,710392,4.4054875,7.098304
71,78,44571,17884,61.0,71.0,34,80,4931792,6.550687,7.2622166
48,118,8232,8671,85.0,45.0,45,125,2009127,4.511149,8.301916
70,99,27700,11871,43.0,70.0,27,100,3935339,7.5325913,6.830841
66,68,10960,5444,65.0,66.0,37,69,1119537,4.6610947,5.8427544
69,81,16956,7281,21.0,76.0,16,90,1979773,5.378742,9.883405
65,132,25189,13308,90.0,64.0,48,136,5088096,4.10273,8.242432
68,102,17203,8079,87.0,67.0,45,105,2592165,5.1643033,7.5059924
68,74,18317,8312,28.0,75.0,20,83,1991718,5.240609,7.6402326
64,68,8893,4900,47.0,65.0,28,70,946167,5.245789,6.976316
78,114,15623,4205,42.0,80.0,26,117,2266167,5.4613066,6.627158
64,81,19940,11012,18.0,71.0,16,92,2530699,4.8386593,6.8305383
76,95,43476,13497,35.0,79.0,23,100,5456618,4.08808,6.3202605
81,88,18368,4155,34.0,83.0,22,90,1991534,6.594606,6.603681
77,89,21971,6426,52.0,78.0,30,91,2537170,4.705288,6.0069494
67,108,26307,12497,25.0,73.0,19,120,4199463,4.7730365,6.760882
55,134,8783,7069,88.0,53.0,46,140,2128300,4.628314,6.6424375
47,55,9570,10481,32.0,50.0,22,62,1104929,4.8922086,5.978581
74,92,33032,11014,84.0,74.0,44,94,4084972,4.2444263,5.722594
70,77,13926,5749,75.0,70.0,37,78,1515443,4.3207726,6.3537126
60,69,16642,10718,86.0,59.0,47,70,1902280,4.5047903,6.153804
77,81,20277,5971,58.0,77.0,34,82,2136655,5.926929,4.810826
52,150,3930,3511,66.0,51.0,37,157,1119799,5.3464613,6.2126617
72,82,42855,16248,85.0,72.0,45,83,4904300,3.516119,5.909603
73,84,20317,7409,72.0,73.0,39,86,2353571,6.033004,6.790633
79,81,10565,2779,63.0,79.0,36,83,1092445,4.081164,6.509751
77,90,8220,2384,40.0,79.0,25,94,963843,5.581284,7.116549
63,70,10717,6271,28.0,64.0,20,72,1193890,6.847479,6.267944
60,126,7703,4959,68.0,60.0,38,130,1601237,4.711615,7.892106
71,74,21750,8760,89.0,69.0,46,76,2270394,3.5447998,6.29117
81,104,35884,8088,76.0,81.0,42,105,4592871,4.972936,8.178516
61,72,6427,4047,75.0,59.0,41,76,763172,4.442682,6.254002
64,126,14231,7919,63.0,64.0,36,130,2806480,5.53586,8.1981945
79,81,7883,2037,19.0,81.0,16,83,809269,5.5608296,6.3027697
50,56,10925,10664,39.0,52.0,25,61,1224612,5.2158833,7.9949617
65,87,34542,18532,58.0,65.0,32,88,4639479,6.960609,8.226422
64,99,19234,10569,92.0,62.0,49,104,2973221,2.910865,6.2505126
67,71,9851,4744,62.0,67.0,36,74,1041009,5.69203,5.016917
29,54,4582,11086,68.0,24.0,39,56,851336,6.452375,7.353642
68,69,8361,3923,39.0,69.0,25,71,856605,6.2340403,6.202719
45,59,6035,7111,54.0,45.0,32,61,787173,4.922629,9.612152
53,62,5595,4813,47.0,54.0,28,64,650320,5.8409595,7.5849576
64,77,13953,7780,93.0,61.0,50,79,1673614,3.1645048,6.129062
73,80,13608,4985,22.0,80.0,17,90,1504579,5.030707,8.684478
62,90,10949,6616,87.0,60.0,47,92,1582256,3.8628628,6.9953103
72,79,15046,5753,12.0,79.0,13,86,1647743,6.303577,5.037785
64,80,8838,4890,89.0,63.0,47,82,1102302,3.844811,6.8898396
45,80,14994,17880,23.0,47.0,18,84,2656502,5.685236,6.7272425
78,92,17596,4834,52.0,79.0,30,94,2070743,5.6823854,5.313168
58,73,21422,15184,58.0,58.0,34,75,2681732,6.8708587,7.8922143
78,121,38357,10417,13.0,82.0,14,128,5937313,5.542159,5.6811414
70,82,56285,23401,80.0,70.0,44,83,6543843,5.711955,7.295322
74,92,42803,14416,78.0,74.0,40,93,5273748,5.0731626,5.478584
60,68,13967,9193,67.0,60.0,37,69,1589416,5.0238504,6.784938
74,79,10330,3581,25.0,76.0,19,82,1107968,6.3920155,5.360028
86,92,36889,5989,32.0,86.0,19,93,3970400,7.6533113,7.1458406
82,90,23693,4972,81.0,82.0,45,91,2597654,4.303743,6.7473116
71,72,9100,3641,88.0,69.0,48,75,919872,3.3076525,6.8598843
59,81,6799,4573,37.0,61.0,24,85,927500,6.3034344,6.9177194
65,106,13872,7411,61.0,65.0,33,109,2266327,5.721584,8.555077
55,107,10993,8867,76.0,53.0,40,112,2138433,4.770094,6.869922
65,132,10161,5337,61.0,65.0,34,138,2058735,5.018189,6.703789
76,86,28594,8966,22.0,79.0,17,90,3235621,4.9310985,7.7309356
67,75,10714,5255,52.0,68.0,31,78,1198722,5.3814793,5.4902983
71,77,14246,5542,50.0,72.0,29,79,1538052,6.8835053,5.835687
66,117,13433,6724,18.0,75.0,16,135,2374958,10.090056,7.6237726
72,77,19505,7369,9.0,79.0,12,84,2093578,5.723417,6.4550095
61,81,20184,12595,47.0,61.0,27,82,2661353,7.3360343,7.4357634
75,84,33874,10746,62.0,76.0,34,84,3751310,4.266912,6.410024
66,72,11964,6116,71.0,65.0,40,73,1302362,4.3387656,6.496677
67,83,10826,5308,15.0,74.0,14,93,1346987,4.854608,7.0790834
64,69,25843,14045,76.0,64.0,40,70,2777160,5.132721,7.414319
70,72,12414,5196,48.0,71.0,29,75,1283203,6.3668942,6.737301
76,83,41125,12882,75.0,76.0,38,83,4485118,5.0055113,8.553378
65,66,9447,5028,74.0,64.0,41,68,960348,4.555912,6.729372
70,130,28803,12125,54.0,72.0,32,142,5328706,3.2828667,7.3629236
75,116,19377,6175,66.0,76.0,37,118,2978440,5.6950846,7.3019657
77,84,18246,5357,66.0,77.0,36,85,1992156,5.00584,6.683767
35,64,5599,10386,89.0,28.0,48,66,1029272,4.542626,8.355018
71,74,10591,4253,12.0,80.0,13,83,1108181,5.011393,6.0456595
84,93,19302,3494,39.0,85.0,23,95,2137780,5.501004,6.010017
70,85,12995,5443,7.0,80.0,11,96,1573500,5.153508,6.613684
55,99,14268,11355,88.0,53.0,47,103,2556279,3.9142933,9.468513
68,83,31460,14397,26.0,71.0,19,87,3822361,4.5132017,8.722943
72,78,17488,6789,6.0,80.0,11,86,1904468,7.0609236,6.315302
52,62,9133,8107,84.0,49.0,46,63,1074103,3.7760158,10.183727
65,74,17230,9240,87.0,63.0,46,75,1964568,3.9260902,5.6239867
55,57,10499,8485,71.0,54.0,39,58,1099589,5.2492695,8.386035
71,78,17475,6819,75.0,71.0,40,79,1901341,4.4837594,8.483098
59,104,21404,14425,92.0,57.0,48,107,3726389,4.344192,8.344219
69,71,14526,6271,54.0,70.0,32,72,1485745,5.6609044,5.4774694
59,88,26919,18679,30.0,60.0,20,92,4020583,4.8312984,7.050726
59,59,4168,2824,75.0,57.0,42,61,416795,4.3704753,6.727786
53,72,15013,13027,29.0,57.0,21,80,2026223,5.900226,8.0245695
79,109,29233,7700,39.0,82.0,25,116,4028456,6.150767,6.9713187
67,78,7619,3651,42.0,68.0,27,80,883813,6.951324,5.125413
81,106,31732,7090,85.0,81.0,44,108,4145666,4.578163,6.771591
48,56,8271,8906,76.0,45.0,41,58,974815,4.7417345,6.9816866
72,82,7435,2809,53.0,73.0,32,85,844193,5.4444447,4.9530954
69,72,34133,15235,56.0,70.0,33,77,3586805,3.8656194,6.977141
57,63,9021,6653,18.0,65.0,16,73,996305,4.404942,6.579449
63,67,9843,5675,64.0,63.0,36,70,1054787,4.023081,7.1562724
64,92,25437,14263,81.0,63.0,43,94,3691639,4.8669662,7.524102
76,79,19379,6065,47.0,76.0,28,81,2035507,6.685811,6.084899
67,80,12846,6305,55.0,67.0,32,83,1548733,5.5516667,7.3846173
64,71,15840,8873,66.0,64.0,37,72,1765897,5.1380477,7.188966
59,128,9013,6173,22.0,67.0,18,152,1949469,6.0522666,7.863373
67,74,15764,7681,63.0,67.0,36,75,1742131,5.652633,5.8709273
67,70,41353,19925,97.0,65.0,52,71,4306849,3.447126,6.212693
60,128,16636,10899,22.0,65.0,17,143,3530947,4.9212623,6.7183146
67,71,11335,5456,23.0,68.0,18,72,1198994,7.093156,6.900224
64,64,7098,3978,57.0,64.0,33,66,711399,5.698254,5.5182257
61,69,6428,3961,50.0,62.0,30,71,718726,5.0452104,6.3802543
72,75,13885,5229,95.0,69.0,51,78,1446081,2.972195,6.13061
71,76,17326,7073,13.0,76.0,13,82,1860495,5.294264,5.513437
73,81,25762,9094,79.0,73.0,42,82,2836255,5.0590854,7.435187
75,95,16227,5387,63.0,75.0,36,98,2069333,5.5864367,6.4929953
70,71,10590,4343,88.0,69.0,48,73,1070266,4.486911,5.625817
71,74,9615,3875,82.0,70.0,44,77,1009295,4.467479,5.7055793
66,171,18006,9236,86.0,65.0,44,177,4672447,6.92429,8.117383
85,91,41135,7105,40.0,85.0,25,92,4434475,7.183897,6.676349
67,106,18056,8796,86.0,66.0,45,107,2847651,3.7805743,6.5569057
70,74,12803,5474,57.0,70.0,34,75,1352750,5.724267,5.2946844
33,60,6955,13549,33.0,33.0,22,73,1244696,5.437394,9.980801
76,92,13154,3988,25.0,78.0,19,95,1590678,7.0431924,4.9851313
55,76,5815,4667,66.0,54.0,36,80,805161,5.0620646,6.6043987
83,88,27253,5282,54.0,84.0,32,89,2866275,7.483813,5.3718357
67,76,24592,11846,33.0,70.0,22,81,2771210,4.260045,6.578434
69,74,13513,6023,73.0,68.0,41,76,1452576,5.065757,7.7104716
56,64,18158,13865,44.0,57.0,27,66,2079458,7.190766,8.077108
75,91,12101,3850,87.0,75.0,48,94,1459386,4.204111,6.675783
72,79,10839,4056,70.0,72.0,40,82,1177253,3.5959566,7.3602395
72,79,15036,5659,62.0,72.0,36,81,1650156,4.3168507,7.449596
43,87,11847,15367,64.0,42.0,36,89,2385846,5.3786926,6.3684773
75,82,12953,4187,82.0,75.0,45,83,1409735,4.1703544,5.611985
58,113,10002,7017,17.0,70.0,15,140,1931217,5.152942,6.260704
75,82,13023,4189,53.0,76.0,31,84,1413098,7.0342145,7.1268926
76,83,21046,6442,39.0,77.0,23,84,2285120,6.882962,6.713401
45,83,14717,17557,88.0,44.0,47,84,2691610,4.909138,6.944153
59,245,8535,5810,64.0,59.0,35,255,3525859,5.4974217,6.9637895
52,55,14972,13503,29.0,55.0,21,59,1584237,4.9299984,8.077378
71,93,17319,6870,66.0,71.0,37,97,2271733,4.813818,5.8814955
63,68,16722,9704,10.0,72.0,12,77,1802827,5.5379605,6.67876
47,51,9822,10882,94.0,40.0,50,51,1063791,3.928129,6.7983346
75,114,20396,6756,53.0,76.0,30,118,3113402,5.2436347,6.5728927
72,77,10559,3941,83.0,72.0,44,78,1121461,3.3723392,6.1716194
56,59,7751,5861,52.0,57.0,31,61,815600,6.129086,7.178849
70,60,12990,5547,75.0,67.0,42,68,1118019,4.795797,6.658911
72,77,10229,3876,85.0,71.0,45,79,1097677,4.031833,7.568794
77,93,37149,11048,40.0,80.0,25,99,4516422,4.4661207,6.2206707
65,79,18062,9605,36.0,68.0,24,85,2201882,4.496846,6.3778253
62,81,17946,10685,58.0,62.0,34,83,2336041,5.07726,7.984056
48,128,6421,6737,82.0,46.0,43,134,1687189,5.3342338,6.8984394
68,87,17584,8212,77.0,67.0,42,89,2259909,4.811755,7.7651963
78,82,14790,4053,28.0,79.0,21,84,1554475,6.7625513,6.0769405
80,88,31277,7663,77.0,80.0,39,89,3431536,5.0904517,7.3648534
67,79,19195,9335,25.0,72.0,19,86,2256629,5.1292863,8.224218
66,132,33139,16340,93.0,65.0,49,136,6572545,5.3942823,7.3137207
78,118,28784,8071,24.0,81.0,17,124,4361363,4.5873475,7.598211
76,82,15936,4950,14.0,82.0,14,89,1730951,6.248302,7.0314436
62,82,11943,7206,75.0,61.0,41,83,1571174,4.5270133,7.5809417
63,66,15890,9108,14.0,71.0,14,74,1653028,5.3994336,5.2363997
77,80,13914,4134,24.0,78.0,19,82,1446704,7.467241,5.907353
74,132,17145,5813,51.0,75.0,30,136,3031620,5.0120134,7.807726
60,67,24797,15930,68.0,60.0,38,69,2748490,5.2907524,7.2779994
58,63,16702,11645,95.0,54.0,50,64,1787933,3.768962,6.8421583
75,80,5953,1963,44.0,76.0,27,82,638507,5.2885647,6.680218
52,60,14640,13296,56.0,52.0,32,62,1694286,7.0371532,7.8624086
76,108,15528,4685,67.0,77.0,36,110,2187914,5.873949,6.887175
72,110,17062,6482,79.0,72.0,43,112,2603693,4.9916883,8.598841
69,75,38638,16603,67.0,69.0,38,76,4183628,6.04824,7.253639
64,115,24913,13801,23.0,68.0,18,124,4470130,5.638822,5.497697
66,95,24983,12442,58.0,66.0,33,97,3589401,4.954579,6.166433
56,53,13513,10555,95.0,45.0,52,53,1283531,3.1030877,9.353257
35,62,7325,13130,85.0,27.0,46,65,1277111,5.186117,8.140444
69,73,8884,3833,67.0,69.0,37,75,935021,4.7900167,6.2026205
52,75,12769,11614,92.0,48.0,49,77,1837237,4.466841,8.528175
63,73,13555,7883,24.0,69.0,18,82,1579992,5.013764,8.061995
82,90,16890,3639,42.0,83.0,23,92,1864432,5.7333345,7.2031193
52,59,8389,7684,75.0,49.0,41,61,949738,4.4217043,8.169262
81,107,24571,5604,69.0,81.0,39,108,3252967,3.7591007,5.5403123
70,111,11318,4699,46.0,71.0,29,115,1782116,5.6451454,6.894997
72,82,16912,6464,72.0,72.0,40,84,1917231,5.280665,7.827338
78,102,39569,11115,13.0,83.0,13,110,5209352,5.89814,6.662795
62,132,13213,7978,87.0,61.0,47,136,2807264,4.647194,8.482219
65,68,10063,5365,65.0,65.0,36,70,1060384,5.139819,5.9557123
79,95,73157,18471,18.0,81.0,15,98,8777161,5.1058226,6.3196545
86,92,49751,7499,26.0,87.0,18,93,5311657,6.3945704,5.4819193
84,91,21893,3974,42.0,85.0,26,93,2373452,6.4630637,6.089209
66,71,12016,6025,51.0,67.0,29,73,1291351,6.2605324,6.521789
54,85,5981,5085,79.0,51.0,43,89,950819,4.1618466,6.9711995
56,125,10595,8181,69.0,55.0,37,131,2355300,2.369435,9.757281
73,92,9574,3432,67.0,73.0,38,95,1197978,4.0917034,8.111222
57,76,7674,5678,55.0,57.0,33,79,1027759,4.4985723,7.6970983
73,79,10352,3653,60.0,74.0,34,81,1109558,4.233882,6.4860992
77,81,12963,3794,50.0,78.0,30,83,1362361,5.487932,7.1844773
78,81,20607,5551,68.0,78.0,37,82,2122902,5.339248,5.420924
42,152,7653,10256,26.0,47.0,19,195,2738027,4.6942964,7.743714
71,79,19214,7790,31.0,77.0,22,87,2135395,4.0825343,4.9624634
50,89,14972,14433,22.0,52.0,17,95,2641626,5.9833455,7.035643
65,70,10979,5668,66.0,65.0,37,71,1176168,5.7266536,6.6286488
70,73,11061,4640,43.0,71.0,27,74,1148265,5.974079,7.521278
76,118,14834,4473,77.0,76.0,41,120,2279304,3.9703002,6.7799964
75,83,20838,6901,38.0,76.0,24,85,2316733,7.1816564,6.1633277
77,102,19478,5706,65.0,77.0,37,103,2576154,4.485265,6.152405
64,101,13297,7194,62.0,65.0,36,105,2082334,5.1495256,8.288919
61,61,20241,12939,61.0,60.0,35,68,2040120,3.8948998,6.208966
70,130,14217,5991,87.0,69.0,45,133,2634903,3.3446043,7.3755913
56,73,16186,12294,43.0,59.0,27,81,2103432,4.108771,6.011333
79,131,25803,6593,85.0,79.0,43,136,4263821,4.9606676,5.7271714
79,96,27431,6912,84.0,79.0,45,98,3301681,3.6723235,6.6132574
81,90,66392,14903,10.0,84.0,12,93,7347765,4.932908,6.2351723
82,89,16784,3635,62.0,82.0,34,90,1825923,5.5591016,5.4980965
76,84,16560,5206,86.0,75.0,46,86,1831786,4.8775415,5.9844146
70,76,17845,7438,81.0,70.0,44,77,1937728,2.6041367,6.629135
61,68,12729,7985,25.0,67.0,19,76,1412764,5.8006353,6.782751
58,96,15088,10527,79.0,57.0,43,100,2480110,4.8109713,7.5780606
76,80,8612,2639,44.0,77.0,28,81,904540,2.0686185,6.4688005
