rw_ratio,io_size,reads,writes,rw_ratio_rnd,rw_ratio_seq,io_size_rnd,io_size_seq,bw_r,response_time_rnd,response_time_seq
15,710,130,727,70.0,9.0,39,778,608853,7.329372,4.8445735
53,74,4118,3605,75.0,50.0,41,78,578431,4.5098376,8.818723
55,75,6846,5519,80.0,53.0,42,78,932373,4.770543,8.053148
44,186,1452,1826,70.0,38.0,37,220,610964,5.1594567,9.798661
57,62,1646,1210,62.0,57.0,36,64,177189,5.5111094,8.919806
33,50,5716,11341,75.0,25.0,42,52,862930,5.0441785,8.174866
81,98,16102,3774,12.0,88.0,12,108,1961728,5.181171,8.085844
72,80,25517,9480,25.0,77.0,19,86,2816222,5.1169014,8.179455
79,91,12727,3277,20.0,85.0,16,99,1456690,4.8152065,7.990968
75,84,11024,3606,9.0,82.0,12,92,1231302,4.793157,7.1617837
34,446,790,1507,24.0,35.0,18,481,1025293,6.020089,8.269313
61,85,6200,3843,21.0,63.0,17,87,856802,6.9485865,7.858565
65,106,3152,1672,69.0,64.0,38,113,515521,5.208248,8.210627
66,69,13141,6752,72.0,65.0,40,71,1386179,4.7459173,6.9793315
73,83,8530,3008,9.0,83.0,12,94,964055,4.7034626,5.426077
69,76,26198,11430,9.0,75.0,11,83,2888852,6.6419573,6.293285
63,178,9352,5291,11.0,68.0,12,194,2618884,7.219083,9.371782
62,176,3175,1885,74.0,60.0,41,205,891846,5.824061,7.890575
63,71,7791,4493,68.0,62.0,38,74,882440,5.0306764,9.24488
51,74,8080,7528,85.0,46.0,45,79,1169092,4.6629596,7.391943
69,84,10448,4568,67.0,69.0,38,85,1270437,5.5783234,7.3734636
62,75,6963,4264,31.0,64.0,21,80,850223,7.503861,6.636579
48,59,12654,13452,82.0,43.0,45,61,1561138,5.12385,9.805141
59,105,831,572,22.0,64.0,18,117,148120,6.020324,8.633794
67,78,23449,11163,90.0,57.0,49,91,2721195,3.6020896,7.8351455
67,72,7048,3397,62.0,67.0,34,74,758059,5.9110975,6.902626
28,26,114,284,85.0,15.0,46,22,10669,6.6222224,6.731705
76,86,19343,5996,34.0,81.0,22,94,2190028,5.0869546,6.255405
65,125,10306,5458,25.0,70.0,18,140,1974501,5.543733,5.4977317
35,42,852,1567,12.0,40.0,13,48,101951,7.523117,6.8232737
46,110,4205,4788,86.0,43.0,47,114,989773,4.2529445,8.05531
68,76,19073,8817,19.0,74.0,16,83,2125482,5.562009,7.3670373
67,71,8551,4053,21.0,69.0,17,74,904596,6.448779,7.386782
67,78,1030,503,55.0,68.0,32,83,120141,5.341084,6.95342
66,80,11202,5584,59.0,67.0,33,83,1358031,4.9714174,6.447762
77,84,12677,3599,12.0,83.0,13,91,1382822,5.9406343,5.573335
65,72,15798,8424,69.0,65.0,38,73,1761894,5.5707593,5.6693635
49,53,7683,7820,69.0,47.0,38,55,830094,5.7011,8.598174
56,61,6864,5201,55.0,57.0,32,63,742884,5.4354305,7.640652
51,61,484,461,23.0,57.0,18,70,57657,4.9535637,6.5535307
55,63,8544,6978,40.0,58.0,25,71,992579,4.7566986,7.293117
53,176,2614,2229,69.0,51.0,38,197,852708,4.501636,9.302859
66,90,7449,3798,67.0,66.0,38,95,1021854,5.1179347,7.889747
41,34,598,860,97.0,21.0,52,28,49795,3.5896125,9.053163
22,251,1009,3432,91.0,13.0,47,279,1116895,3.652328,8.549756
60,70,3519,2294,15.0,67.0,14,78,407682,10.044298,7.5893598
61,86,14597,9294,29.0,62.0,21,89,2061632,4.411667,4.8519936
58,65,1243,867,24.0,62.0,19,71,138798,3.0859904,7.5159554
28,74,1210,3067,26.0,29.0,19,115,318827,4.2981334,7.0442863
73,79,5953,2147,49.0,75.0,30,82,640298,4.879511,7.132118
71,78,1095,444,67.0,71.0,38,81,121363,6.7449493,8.732056
54,63,833,698,24.0,58.0,18,68,97034,4.884057,8.150278
72,78,18255,6880,8.0,79.0,11,85,1974762,6.6459303,6.1000705
70,107,13293,5644,32.0,71.0,22,110,2030626,6.2988505,8.447079
25,44,2040,5933,63.0,22.0,36,44,351072,5.782774,8.997292
19,21,136,565,19.0,19.0,17,22,15067,9.000003,5.704096
35,39,377,678,74.0,31.0,41,39,41725,5.3755665,7.9957547
64,69,13091,7215,17.0,70.0,15,76,1409766,5.1619306,6.6607237
77,91,6815,1980,48.0,79.0,29,95,807121,6.3624477,6.3534775
63,68,11783,6740,33.0,64.0,23,69,1259613,6.5985136,6.217285
36,56,1377,2415,71.0,29.0,40,59,213107,3.8495433,8.310066
71,85,2152,847,22.0,75.0,17,89,255480,4.3267007,7.283854
48,92,5655,5956,92.0,43.0,49,97,1075161,4.012362,8.139679
87,98,10640,1557,33.0,88.0,21,100,1202245,4.84803,4.5352025
43,43,1660,2161,26.0,52.0,20,56,167705,3.9844337,6.2522955
69,93,13560,5902,69.0,69.0,39,108,1815272,2.2538314,6.8034134
73,80,31414,11359,67.0,73.0,36,82,3461639,6.5487566,8.707423
61,119,705,447,62.0,60.0,36,134,137680,8.2206335,10.863104
72,89,28648,11065,22.0,77.0,17,96,3547500,5.1302133,8.277164
59,76,10476,7158,76.0,57.0,41,79,1352474,4.7257066,8.830915
68,80,22121,10003,41.0,69.0,26,81,2578172,6.303248,6.455801
44,53,1268,1595,47.0,43.0,29,57,153531,6.0601497,8.192742
65,72,7655,4095,3.0,77.0,9,85,855955,5.6124496,5.99967
60,117,8543,5585,18.0,69.0,16,139,1655888,4.77263,7.3295336
31,117,1926,4110,52.0,29.0,31,128,709368,4.1296496,9.722913
56,115,3757,2853,28.0,58.0,20,121,763063,6.043161,8.228558
70,74,7077,3016,57.0,70.0,32,76,756014,6.5120335,8.75835
71,94,6091,2436,30.0,72.0,21,97,809678,6.984081,6.611601
77,113,8055,2331,69.0,77.0,37,117,1178600,5.9473968,7.7506676
46,53,2431,2810,77.0,44.0,41,54,282694,4.557214,7.1755533
71,77,9502,3838,21.0,79.0,17,87,1035225,5.2784677,8.67229
67,81,13868,6696,25.0,72.0,19,89,1674075,5.7093873,5.6934147
43,53,1160,1478,48.0,43.0,29,56,139838,4.583413,6.7526026
50,61,3709,3697,54.0,49.0,32,64,457784,5.1940007,8.521131
54,62,2708,2284,13.0,67.0,14,78,313127,6.8606935,6.5258436
73,78,9572,3472,39.0,74.0,24,80,1030375,9.763722,8.249026
59,66,10052,6891,61.0,59.0,35,68,1132086,5.092785,8.336491
41,54,1362,1904,94.0,31.0,49,55,177357,4.033538,7.4634795
66,121,18322,9291,71.0,66.0,38,124,3348676,5.5395665,6.668266
79,85,12840,3306,19.0,80.0,16,87,1382301,7.394616,6.3340034
55,151,3401,2767,4.0,69.0,9,192,934627,5.6671586,8.465722
57,75,9679,7016,77.0,56.0,43,78,1261366,4.157407,8.758969
56,66,1334,1040,36.0,58.0,24,71,156783,5.509175,7.670794
64,72,17686,9656,26.0,70.0,19,80,1977235,5.4654484,8.096214
80,83,11404,2728,79.0,80.0,44,86,1185826,4.3267317,7.5111446
62,119,16317,9989,77.0,61.0,41,123,3131028,4.393948,7.468897
58,71,1229,857,79.0,57.0,43,73,148971,4.09806,7.924871
59,67,6973,4827,50.0,59.0,30,70,799330,5.089934,7.0957565
68,82,10937,5087,75.0,67.0,41,85,1323961,3.9492931,7.9444413
45,49,2787,3335,85.0,41.0,45,50,304810,5.000932,11.447711
77,87,7456,2207,4.0,86.0,9,97,844392,5.7588243,7.3895617
66,62,10622,5294,64.0,67.0,37,66,991979,3.7203689,6.5064263
68,134,6192,2904,57.0,68.0,32,142,1223248,5.5165186,7.1268764
47,57,3955,4324,55.0,46.0,31,60,475047,7.1658163,8.2346325
55,95,15376,12230,32.0,59.0,21,106,2628546,5.8324547,8.897644
45,54,2662,3164,22.0,55.0,18,68,314677,4.378992,10.267087
60,73,21789,14189,18.0,67.0,15,82,2659497,7.297277,8.089098
74,86,9957,3341,19.0,77.0,14,90,1152906,7.3860645,7.5403957
62,84,15179,8988,39.0,65.0,25,91,2043219,4.869736,7.801161
53,123,1776,1571,47.0,53.0,28,131,414342,6.6866784,5.5736403
64,77,4258,2377,78.0,62.0,43,80,515395,5.33783,9.010977
62,66,10475,6202,79.0,61.0,43,67,1101288,4.832147,6.9816446
48,132,14713,15329,26.0,51.0,19,145,3987354,7.3003006,8.607872
68,76,9499,4405,5.0,77.0,10,86,1068022,6.235531,9.267672
63,111,6218,3643,2.0,72.0,9,127,1101632,3.678934,6.5301156
79,87,22763,5813,69.0,80.0,38,89,2502043,5.1432476,7.392882
65,72,18937,9834,59.0,66.0,34,74,2097740,5.518649,7.305164
70,87,14637,6192,71.0,70.0,38,89,1825791,4.9099,8.577229
58,65,386,270,9.0,71.0,12,79,43207,8.816849,8.316408
62,62,2063,1264,60.0,62.0,35,67,207265,5.6816354,8.720606
62,68,16981,10112,78.0,61.0,42,70,1862583,4.465035,8.525237
23,93,2132,7045,81.0,13.0,43,101,854362,5.1070127,9.261218
59,62,7295,4936,82.0,56.0,45,64,761114,4.2183747,7.745626
46,84,600,701,78.0,33.0,38,102,110207,2.4328103,8.463925
76,88,22920,7112,11.0,80.0,13,94,2660268,5.2181745,6.506356
73,90,18096,6485,77.0,73.0,40,92,2216461,4.8691688,7.1425796
25,84,2088,6051,73.0,14.0,40,94,689730,4.616146,8.310166
52,61,1422,1285,50.0,52.0,31,64,165732,4.920229,6.9797597
72,82,17149,6628,54.0,72.0,30,85,1972636,5.171379,8.201318
84,92,12975,2450,64.0,84.0,34,94,1433190,4.5064206,7.3222833
58,146,11929,8335,49.0,59.0,30,150,2971006,5.4413753,7.3315034
82,89,10650,2273,34.0,83.0,23,90,1152835,5.8549953,6.517643
78,88,40715,11476,55.0,78.0,32,88,4592944,5.2025633,7.121441
64,72,6956,3763,22.0,72.0,18,81,775391,6.3602843,8.900911
67,70,14196,6780,64.0,67.0,36,72,1473579,4.83826,7.7187095
50,58,2897,2837,41.0,52.0,26,64,337099,6.579154,6.415982
63,67,3729,2178,69.0,62.0,39,72,397979,2.8749623,9.021222
52,90,10002,8890,27.0,57.0,19,104,1713818,5.10474,7.2740126
64,145,2783,1558,97.0,12.0,48,295,630930,4.597466,8.340288
29,78,1136,2704,23.0,33.0,18,117,299707,4.1278243,6.8136916
56,76,8504,6514,25.0,58.0,19,79,1148070,6.175817,6.491874
72,79,15327,5808,6.0,81.0,10,88,1678264,5.7477727,7.9790106
66,119,2946,1486,71.0,65.0,38,132,527540,5.7758007,11.905524
49,144,4505,4572,59.0,48.0,31,151,1310083,6.372534,6.813786
71,76,12373,4981,14.0,79.0,14,84,1321644,5.9135394,6.1593204
57,105,8379,6219,32.0,61.0,22,120,1545167,4.891054,8.40132
73,92,11037,4056,54.0,74.0,32,95,1398285,5.8841853,7.3346014
48,56,4915,5252,91.0,44.0,46,57,572281,4.221383,7.136055
68,75,14752,6728,13.0,74.0,14,81,1619844,6.2990756,7.9944415
58,76,6481,4529,74.0,57.0,40,79,838682,4.406623,7.359738
53,59,5437,4667,71.0,52.0,39,61,602579,6.0208354,7.748416
72,77,9126,3462,80.0,72.0,44,79,979190,5.875064,7.696432
66,86,1565,804,46.0,68.0,27,93,204005,5.926544,6.5440373
25,56,599,1705,81.0,14.0,45,59,130638,4.1234756,6.463178
36,46,444,765,45.0,34.0,27,50,56240,4.558093,7.647196
54,93,4916,4066,16.0,62.0,15,108,841604,3.2542758,6.348891
38,82,4953,7811,72.0,33.0,39,88,1048371,5.8483543,9.304667
54,62,11222,9379,51.0,54.0,30,64,1286284,7.542698,8.342375
63,124,2156,1245,54.0,64.0,33,137,423151,4.660607,8.000713
59,79,6636,4534,65.0,55.0,37,105,885552,2.7600935,9.910331
74,148,5618,1894,30.0,76.0,20,153,1119245,6.5969453,6.2635436
63,92,23081,13281,66.0,63.0,38,97,3345634,5.628233,7.142492
79,92,24771,6294,18.0,82.0,16,95,2888236,5.6526856,6.1006618
64,79,4768,2631,56.0,65.0,32,83,591898,6.1397405,6.835777
78,87,15264,4108,16.0,82.0,15,91,1698653,5.4063787,6.266615
68,84,4380,2016,55.0,69.0,32,87,537698,7.259566,6.884136
78,85,10561,2952,4.0,86.0,10,94,1154451,4.744556,6.9828467
55,69,5910,4713,13.0,66.0,13,83,742107,5.0556064,7.968777
67,98,13492,6361,34.0,70.0,23,104,1951553,4.2814827,6.4319186
81,90,6271,1386,44.0,82.0,26,92,693089,6.617335,6.809717
45,51,7845,9297,47.0,45.0,29,58,890560,5.1129117,7.749172
49,50,3731,3815,67.0,46.0,37,52,381546,6.354951,7.596369
71,81,18505,7485,19.0,77.0,16,89,2114055,5.4273734,5.7773438
52,59,10790,9875,29.0,56.0,20,66,1228683,5.042724,8.524051
55,67,677,542,13.0,62.0,14,75,82327,3.8652568,8.445956
63,61,4130,2354,67.0,63.0,38,65,397031,5.2749395,7.199932
71,80,16520,6724,75.0,70.0,42,82,1877309,4.0476966,6.104409
57,63,1604,1176,10.0,63.0,12,69,175496,9.590907,9.162634
25,29,448,1290,74.0,16.0,41,27,51780,5.584086,8.366456
58,64,1537,1075,51.0,59.0,31,69,169483,4.261839,7.366037
64,64,799,445,71.0,63.0,40,67,79800,3.9235291,9.224202
73,81,26404,9316,48.0,75.0,29,85,2927562,4.912944,5.888742
80,90,24346,5728,20.0,83.0,16,93,2711752,5.363926,7.052406
47,58,2391,2661,11.0,59.0,13,73,294566,4.5377545,5.7633443
54,60,5459,4650,23.0,62.0,18,72,615416,4.5579205,7.9807696
36,112,2723,4811,56.0,33.0,32,124,848301,5.450887,7.23192
53,63,12802,11352,65.0,52.0,36,65,1541501,7.12325,9.784806
77,85,10699,3036,61.0,78.0,35,86,1172963,4.910807,6.7068324
54,62,9863,8197,9.0,61.0,12,70,1131615,6.2054443,7.4019794
48,54,1407,1475,56.0,47.0,31,58,156090,3.402858,6.888385
59,79,22556,15416,53.0,59.0,31,80,3002901,8.633013,8.584769
45,83,3455,4123,66.0,43.0,36,88,631719,4.1798687,6.51978
83,92,22047,4506,30.0,84.0,21,93,2448800,6.3642945,7.578952
67,73,9023,4333,28.0,74.0,20,82,984958,4.9589944,7.6086183
66,72,7442,3809,22.0,73.0,17,82,818913,4.2335205,6.3575134
62,125,7816,4622,76.0,61.0,40,133,1565442,5.76242,5.70533
71,142,1660,669,87.0,66.0,48,171,332976,6.330725,7.404367
70,74,6250,2654,64.0,70.0,36,75,663310,5.3176103,6.4710755
61,57,5827,3597,51.0,65.0,31,66,543072,4.814449,5.838831
77,87,7256,2069,38.0,79.0,25,89,815554,6.030753,4.984252
86,97,9406,1522,44.0,86.0,26,98,1060487,5.3298035,5.552187
48,179,1533,1619,79.0,41.0,42,213,567136,3.5789936,7.702702
84,93,14217,2553,48.0,85.0,29,94,1569324,5.497825,6.731056
57,80,7230,5290,78.0,56.0,43,83,1005825,4.8996506,7.464928
